start,event,end,fclass,rads,is_analyzable,s_time,e_time
2021-10-02 22:23:00,2021-10-02 22:40:00,2021-10-02 22:57:00,C1.6,-,0,2021-10-02 21:00:00,2021-10-03 00:00:00
2021-10-08 19:19:00,2021-10-08 19:56:00,2021-10-08 20:16:00,C2.7,-,0,2021-10-08 18:00:00,2021-10-08 21:00:00
2021-10-09 22:42:00,2021-10-09 22:57:00,2021-10-09 23:06:00,C2.0,-,0,2021-10-09 22:00:00,2021-10-10 00:00:00
2021-10-10 22:28:00,2021-10-10 23:02:00,2021-10-10 23:20:00,C2.3,-,0,2021-10-10 21:00:00,2021-10-11 00:00:00
2021-10-13 22:02:00,2021-10-13 22:05:00,2021-10-13 22:09:00,C1.3,-,0,2021-10-13 21:00:00,2021-10-13 23:00:00
2021-10-25 19:47:00,2021-10-25 19:56:00,2021-10-25 20:01:00,C8.5,-,0,2021-10-25 19:00:00,2021-10-25 21:00:00
2021-10-25 21:55:00,2021-10-25 22:03:00,2021-10-25 22:16:00,C4.4,-,0,2021-10-25 21:00:00,2021-10-25 23:00:00
2021-10-25 23:31:00,2021-10-25 23:34:00,2021-10-25 23:38:00,C1.6,-,0,2021-10-25 23:00:00,2021-10-26 01:00:00
2021-10-26 15:42:00,2021-10-26 15:57:00,2021-10-26 16:02:00,M1.0,-,0,2021-10-26 15:00:00,2021-10-26 17:00:00
2021-10-26 22:45:00,2021-10-26 22:52:00,2021-10-26 23:00:00,C1.2,-,0,2021-10-26 22:00:00,2021-10-27 00:00:00
2021-10-26 23:10:00,2021-10-26 23:19:00,2021-10-26 23:25:00,C2.1,-,0,2021-10-26 22:00:00,2021-10-27 00:00:00
2021-10-27 16:21:00,2021-10-27 16:36:00,2021-10-27 16:44:00,C2.1,-,0,2021-10-27 15:00:00,2021-10-27 18:00:00
2021-10-27 17:57:00,2021-10-27 18:05:00,2021-10-27 18:13:00,C1.4,-,0,2021-10-27 17:00:00,2021-10-27 19:00:00
2021-10-27 18:48:00,2021-10-27 18:58:00,2021-10-27 19:04:00,C2.1,-,0,2021-10-27 18:00:00,2021-10-27 20:00:00
2021-10-27 20:44:00,2021-10-27 20:50:00,2021-10-27 20:58:00,C2.1,-,0,2021-10-27 20:00:00,2021-10-27 22:00:00
